_id,objectid_1,objectid,area,perimeter,greenway,greenway_i,name,acres,square miles,neighborhood,dpwdiv,shape_leng,date_resol,label,shape_length,shape_area,created_user,created_date,last_edited_user,last_edited_date
991,1,23,1858946.715,31202.04492,0,4,Beechview Seldom Seen,42.67537374,0.0666808,Beechview,5,31202.04565,1985-07-15T00:00:00,Beechview - Seldom Seen Greenway,14626.97818,1858946.715,pgh.dcp.allisot,3/15/2023,pgh.dcp.allisot,3/15/2023
992,2,0,1201580.413,26922.01758,4,6,Moore,27.58438034,0.04310094,Brookline,5,26922.01762,2006-10-20T00:00:00,Moore Greenway,16334.13194,1201580.413,pgh.dcp.allisot,3/15/2023,pgh.dcp.allisot,3/15/2023
993,3,,508394.1727,3822.361084,,12,Nine Mile Run,11.67107758,0.0182362,Squirrel Hill South,3,,2012-05-11T00:00:00,Nine Mile Run Greenway,8518.013454,508394.1727,pgh.dcp.allisot,3/15/2023,pgh.dcp.allisot,3/15/2023
994,4,47,558135.1757,18576.34375,6,7,Perry South,12.81296932,0.02002042,Perry South,1,18576.34309,2010-03-02T00:00:00,Perry South Greenway,18588.3827,558135.1759,pgh.dcp.allisot,3/15/2023,pgh.dcp.allisot,3/15/2023
995,5,0,1053815.261,55200.76563,0,11,Bigelow,24.19217279,0.03780057,Lower Lawrenceville,0,721.5002396,2012-05-11T00:00:00,Bigelow Greenway,30418.99248,1053815.261,pgh.dcp.allisot,3/15/2023,pgh.dcp.allisot,3/15/2023
996,6,24771,781376.5962,22569.24805,5,8,Observatory Hill Hollows,17.93786665,0.02802814,Perry North,1,22591.51801,2010-11-03T00:00:00,Observatory Hill Hollows Greenway,22649.57647,781376.5956,pgh.dcp.allisot,3/15/2023,pgh.dcp.allisot,3/15/2023
997,7,0,1523837.644,24508.02734,0,9,Allegheny River,34.9823588,0.05466037,North Shore,2,24508.02712,2011-03-08T00:00:00,Allegheny River Greenway,24520.13871,1523837.644,pgh.dcp.allisot,3/15/2023,pgh.dcp.allisot,3/15/2023
998,8,0,222644.7435,6321.647949,0,10,Oakcliffe,5.11119956,0.00798631,South Oakland,3,6321.648193,2011-04-06T00:00:00,Oakcliffe Greenway,6349.606018,222644.7438,pgh.dcp.allisot,3/15/2023,pgh.dcp.allisot,3/15/2023
999,9,2,2064315.585,21532.10547,7,1,Spring Hill Spring Garden,47.38997541,0.07404743,Spring Garden,1,21532.10469,1981-06-29T00:00:00,Spring Hill / Spring Garden Greenway,19303.18565,2064315.584,pgh.dcp.allisot,3/15/2023,pgh.dcp.allisot,3/15/2023
1000,10,25,256683.3223,48166.9375,3,2,Hazelwood,3.13288494,0.00489513,Hazelwood,3,41209.88573,1983-03-28T00:00:00,Hazelwood Greenway,5013.738942,136469.0139,pgh.dcp.allisot,3/15/2023,pgh.dcp.allisot,3/15/2023
